Classifier,Type,Train(t),Test(t),Score_1,Score_2,Score_3,mse,f1,roc-auc
TSF,sktime,24.705555200576782,2.291536808013916,0.9051724137931034,0.9008620689655172,0.896551724137931,0.0948275862068965,0.9051724137931036,0.9776410929153728
STSF,sktime,107.9254343509674,7.525817394256592,0.9224137931034484,0.9267241379310344,0.913793103448276,0.1120689655172413,0.9267241379310344,0.9896714619113796
RISE,sktime,253.6122839450836,38.334288120269775,0.913793103448276,0.9051724137931034,0.896551724137931,0.1767241379310344,0.913793103448276,0.982056840802163
RIC,sktime,563.5648412704468,35.9736533164978,0.9353448275862069,0.9094827586206896,0.9267241379310344,0.0905172413793103,0.9353448275862069,0.9891063471308698
STC,sktime,1209.3829398155212,67.07753586769104,0.8706896551724138,0.875,0.8706896551724138,0.1508620689655172,0.875,0.9664611839681412
kNN-TS,sktime,5.072375535964966,88.32464241981506,0.771551724137931,0.771551724137931,0.771551724137931,0.3577586206896552,0.771551724137931,0.8288579083134678
CTSF,sktime,5237.096529960632,167.12750577926636,0.875,0.8879310344827587,0.9008620689655172,0.1120689655172413,0.9008620689655172,0.9767672826839
WEASEL,sktime,162.52959823608398,12.645586729049684,0.918103448275862,0.918103448275862,0.918103448275862,0.1594827586206896,0.918103448275862,0.9805882099364532
MUSE,sktime,279.7887182235718,34.747119665145874,0.956896551724138,0.9655172413793104,0.961206896551724,0.0603448275862069,0.9655172413793104,0.994489044190268
ENSEMBLE,sktime,829.5175659656525,38.09136939048767,0.9612068965517241,0.9568965517241379,0.9568965517241379,0.05172413793103448,0.9612068965517241,0.9946164593961628
