Parameter name,TSF,STSF,RISE,RIC,STC,kNN-TS,CTSF,WEASEL,MUSE
min_interval,3,,16,,,,,,
n_estimators,200,200,500,,,,100,,
n_jobs,1,1,1,1,1,,,1,1
acf_lag,,,100,,,,,,
acf_min_values,,,4,,,,,,
max_interval,,,0,,,,,,
n_intervals,,,,100,,,,,
batch_size,,,,,100,,,,
contract_max_n_shapelet_samples,,,,,inf,,,,
n_shapelet_samples,,,,,10000,,,,
save_transformed_data,,,,,FALSE,,,,
time_limit_in_minutes,,,,,0,,,,
transform_limit_in_minutes,,,,,0,,,,
algorithm,,,,,,brute,,,
distance,,,,,,dtw,,,
leaf_size,,,,,,30,,,
n_neighbors,,,,,,1,,,
pass_train_distances,,,,,,FALSE,,,
weights,,,,,,uniform,,,
bootstrap,,,,,,,FALSE,,
min_impurity_decrease,,,,,,,0,,
min_samples_leaf,,,,,,,1,,
min_samples_split,,,,,,,2,,
min_weight_fraction_leaf,,,,,,,0,,
oob_score,,,,,,,FALSE,,
verbose,,,,,,,0,,
warm_start,,,,,,,FALSE,,
alphabet_size,,,,,,,,2,4
anova,,,,,,,,TRUE,TRUE
bigrams,,,,,,,,TRUE,TRUE
binning_strategy,,,,,,,,information-gain,
feature_selection,,,,,,,,chi2,chi2
p_threshold,,,,,,,,0.05,0.05
support_probabilities,,,,,,,,TRUE,TRUE
window_inc,,,,,,,,2,4
use_first_order_differences,,,,,,,,,TRUE
variance,,,,,,,,,FALSE
